City_ID,City,Latitude,Longitude,Max Temperature (°C),Humidity (%),Cloudiness (%),Wind Speed (MPH),Country,Date
48,Yellowknife,62.456,-114.3525,-19.68,69,40,5.75,CA,1669755435
49,Makakilo City,21.3469,-158.0858,84.43,60,90,1.23,US,1669755435
50,Port-Gentil,-0.7193,8.7815,76.96,94,75,1.14,GA,1669755435
51,Chokurdakh,70.6333,147.9167,-11.78,98,100,9.24,RU,1669755435
52,Sijunjung,-0.6876,100.9537,71.24,97,90,1.7,ID,1669755435
53,Santa Cruz de la Sierra,-17.8,-63.1667,98.06,34,75,18.41,BO,1669755436
54,Faanui,-16.4833,-151.75,79.32,76,16,12.66,PF,1669755436
55,Port Angeles,48.1181,-123.4307,38.08,86,100,0.0,US,1669755436
56,Provideniya,64.3833,-173.3,33.91,93,100,15.99,RU,1669755436
57,Busselton,-33.65,115.3333,69.84,48,77,13.67,AU,1669755436
58,Saint George,37.1041,-113.5841,50.95,23,0,3.0,US,1669755437
59,Agüimes,27.9054,-15.4461,66.83,68,75,18.41,ES,1669755437
60,Castro,-24.7911,-50.0119,62.56,89,88,7.0,BR,1669755437
61,Khatanga,71.9667,102.5,-1.86,91,94,10.07,RU,1669755437
62,Ribeira Brava,32.65,-17.0667,65.71,72,19,2.8,PT,1669755437
63,Upernavik,72.7868,-56.1549,4.28,93,100,14.65,GL,1669755438
64,Am Timan,11.0297,20.2827,76.42,23,3,7.52,TD,1669755438
65,Wattegama,6.7989,81.4808,69.75,91,89,3.53,LK,1669755438
66,Ponta do Sol,32.6667,-17.1,65.71,71,21,2.98,PT,1669755438
67,Carnarvon,-24.8667,113.6333,69.71,87,0,11.54,AU,1669755438
68,Hobart,-42.8794,147.3294,59.05,64,40,12.66,AU,1669755438
69,Comodoro Rivadavia,-45.8667,-67.5,55.26,50,20,12.66,AR,1669755380
70,Flinders,-34.5833,150.8552,64.18,78,15,5.99,AU,1669755439
71,Yangi Marg`ilon,40.4272,71.7189,43.52,93,100,4.61,UZ,1669755439
72,Thompson,55.7435,-97.8558,3.36,78,100,19.57,CA,1669755439
73,Alausí,-2.2,-78.8333,52.18,85,95,7.85,EC,1669755439
74,Khuzdar,27.7384,66.6434,56.3,25,0,4.18,PK,1669755440
75,Hamilton,39.1834,-84.5333,61.05,67,67,4.0,US,1669755275
76,Longyearbyen,78.2186,15.6401,42.64,75,75,14.97,SJ,1669755440
77,East London,-33.0153,27.9116,71.49,80,28,21.99,ZA,1669755440
78,Pevek,69.7008,170.3133,6.53,97,99,2.82,RU,1669755406
79,Atbasar,51.8,68.3333,1.8,84,100,8.97,KZ,1669755441
80,Hilo,19.7297,-155.09,80.11,85,100,5.99,US,1669755441
81,Jamestown,42.097,-79.2353,46.02,66,75,11.5,US,1669755441
82,Toora-Khem,52.4675,96.11,-8.43,98,100,0.56,RU,1669755441
83,Matara,5.9485,80.5353,74.77,90,57,5.48,LK,1669755441
84,Villa Carlos Paz,-31.4241,-64.4978,69.28,77,100,7.05,AR,1669755441
85,Tasiilaq,65.6145,-37.6368,35.1,95,100,36.78,GL,1669755442
86,Mwene-Ditu,-7.0,23.45,63.77,96,100,1.19,CD,1669755442
87,Dhārchula,29.85,80.5333,54.88,23,100,6.55,IN,1669755442
88,Dunedin,-45.8742,170.5036,57.79,84,100,10.0,NZ,1669755442
89,Caravelas,-17.7125,-39.2481,74.93,90,99,11.18,BR,1669755442
90,Cabo San Lucas,22.8909,-109.9124,83.61,63,6,1.99,MX,1669755442
91,Hasaki,35.7333,140.8333,61.29,84,95,5.64,JP,1669755443
92,Lebu,-37.6167,-73.65,60.13,85,99,13.85,CL,1669755443
93,Pathein,16.7833,94.7333,75.61,93,77,4.5,MM,1669755443
94,Port Alfred,-33.5906,26.891,71.82,82,53,15.75,ZA,1669755443
95,Mweka,-4.85,21.5667,66.4,100,100,1.52,CD,1669755444
